run_id,sim_time,event_type,actor_type,actor_id,u,v,segment_id,occupancy,rho_max,length_m
20260610_175521_48753422,80817.18412687139,exit,car,1576,46359275,46365929,46359275->46365929,0.5983369667700601,28.090937407045082,210.6820305528381
20260610_175521_48753422,80817.18412687139,enter,car,1576,46365929,46366196,46365929->46366196,1.032765627334384,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80817.71459961335,exit,car,1576,46365929,46366196,46365929->46366196,0.03276562733438391,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80817.71459961335,enter,car,1576,46366196,2384634607,46366196->2384634607,1.0486965654585652,2.286223730449071,17.146677978368032
20260610_175521_48753422,80818.50299289936,exit,car,1576,46366196,2384634607,46366196->2384634607,0.048696565458565204,2.286223730449071,17.146677978368032
20260610_175521_48753422,80818.50299289936,enter,car,1576,2384634607,46367537,2384634607->46367537,1.0494404781295823,2.32114920796161,17.408619059712073
20260610_175521_48753422,80819.30343006876,exit,car,1576,2384634607,46367537,2384634607->46367537,0.04944047812958227,2.32114920796161,17.408619059712073
20260610_175521_48753422,80819.30343006876,enter,car,1576,46367537,5155698570,46367537->5155698570,1.0504263134524379,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80820.11982782885,exit,car,1576,46367537,5155698570,46367537->5155698570,0.05042631345243789,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80820.11982782885,enter,car,1576,5155698570,2384634611,5155698570->2384634611,1.0385730230085675,1.8109400473505892,13.58205035512942
20260610_175521_48753422,80820.74432181678,exit,car,1576,5155698570,2384634611,5155698570->2384634611,0.03857302300856755,1.8109400473505892,13.58205035512942
20260610_175521_48753422,80820.74432181678,enter,car,1576,2384634611,46370980,2384634611->46370980,2.2995714917153105,14.06438928240895,105.48291961806713
20260610_175521_48753422,80821.70693685589,exit,car,1575,2384634611,46370980,2384634611->46370980,1.2995714917153105,14.06438928240895,105.48291961806713
20260610_175521_48753422,80821.70693685589,enter,car,1575,46370980,13295721652,46370980->13295721652,3.151406291495989,108.11326680713513,405.4247505267567
20260610_175521_48753422,80825.9743124897,exit,car,1576,2384634611,46370980,2384634611->46370980,0.2995714917153106,14.06438928240895,105.48291961806713
20260610_175521_48753422,80825.9743124897,enter,car,1576,46370980,13295721652,46370980->13295721652,4.151406291495989,108.11326680713513,405.4247505267567
20260610_175521_48753422,80826.16022179219,exit,car,1566,46422244,4212537840,46422244->4212537840,0.5711918617863896,83.80162291466985,628.5121718600238
20260610_175521_48753422,80826.16022179219,enter,car,1566,4212537840,4212537844,4212537840->4212537844,1.0392181140333696,5.753831284238487,43.15373463178865
20260610_175521_48753422,80828.19707405879,enter,car,1572,3611512307,46444413,3611512307->46444413,3.170723129535018,203.82376803145715,764.3391301179643
20260610_175521_48753422,80829.28861380565,exit,car,1566,4212537840,4212537844,4212537840->4212537844,0.03921811403336953,5.753831284238487,43.15373463178865
20260610_175521_48753422,80829.28861380565,enter,car,1566,4212537844,46430646,4212537844->46430646,1.1627757937356318,23.88142513726994,179.11068852952454
20260610_175521_48753422,80830.03601633546,enter,car,1578,3611512307,46444413,3611512307->46444413,4.170723129535018,203.82376803145715,764.3391301179643
20260610_175521_48753422,80832.19895464739,exit,car,1573,46370980,13295721652,46370980->13295721652,3.151406291495989,108.11326680713513,405.4247505267567
20260610_175521_48753422,80832.19895464739,enter,car,1573,13295721652,46391963,13295721652->46391963,1.1556004134536233,13.697219494156984,102.72914620617738
20260610_175521_48753422,80840.32147165622,exit,car,1575,46370980,13295721652,46370980->13295721652,2.151406291495989,108.11326680713513,405.4247505267567
20260610_175521_48753422,80840.32147165622,enter,car,1575,13295721652,46391963,13295721652->46391963,2.155600413453623,13.697219494156984,102.72914620617738
20260610_175521_48753422,80842.27308553911,exit,car,1566,4212537844,46430646,4212537844->46430646,0.1627757937356319,23.88142513726994,179.11068852952454
20260610_175521_48753422,80842.27308553911,enter,car,1566,46430646,46431391,46430646->46431391,1.0200572017199405,2.942664571587507,22.0699842869063
20260610_175521_48753422,80843.56764860226,enter,car,1574,46493064,46467133,46493064->46467133,3.7957579705432045,262.51248549701455,984.4218206138046
20260610_175521_48753422,80843.87302962667,exit,car,1566,46430646,46431391,46430646->46431391,0.020057201719940448,2.942664571587507,22.0699842869063
20260610_175521_48753422,80843.87302962667,enter,car,1566,46431391,46445656,46431391->46445656,3.2169179061302087,107.12305511709587,803.422913378219
20260610_175521_48753422,80844.66810170269,exit,car,1573,13295721652,46391963,13295721652->46391963,1.1556004134536233,13.697219494156984,102.72914620617738
20260610_175521_48753422,80844.66810170269,enter,car,1573,46391963,46409450,46391963->46409450,1.527706776300589,154.84353764688646,580.6632661758242
20260610_175521_48753422,80844.7661929917,exit,car,1576,46370980,13295721652,46370980->13295721652,1.1514062914959888,108.11326680713513,405.4247505267567
20260610_175521_48753422,80844.7661929917,enter,car,1576,13295721652,46391963,13295721652->46391963,2.155600413453623,13.697219494156984,102.72914620617738
20260610_175521_48753422,80853.78484018923,exit,car,1575,13295721652,46391963,13295721652->46391963,1.1556004134536233,13.697219494156984,102.72914620617738
20260610_175521_48753422,80853.78484018923,enter,car,1575,46391963,46409450,46391963->46409450,2.527706776300589,154.84353764688646,580.6632661758242
20260610_175521_48753422,80855.94918212423,exit,car,1567,46409450,46445656,46409450->46445656,3.3806891908597767,121.53954144892403,911.5465608669302
20260610_175521_48753422,80858.2295615247,exit,car,1576,13295721652,46391963,13295721652->46391963,0.1556004134536233,13.697219494156984,102.72914620617738
20260610_175521_48753422,80858.2295615247,enter,car,1576,46391963,46409450,46391963->46409450,3.527706776300589,154.84353764688646,580.6632661758242
20260610_175521_48753422,80858.5537821262,exit_return,bus,2,46458576,46483655,46458576->46483655,1.0893426146627605,95.89283579777823,719.1962684833368
20260610_175521_48753422,80858.5537821262,enter_return,bus,2,46483655,46484196,46483655->46484196,2.126634537382093,2.1027473277389785,15.77060495804234
20260610_175521_48753422,80860.46800023892,exit_return,bus,2,46483655,46484196,46483655->46484196,0.023887209643114794,2.1027473277389785,15.77060495804234
20260610_175521_48753422,80860.46800023892,enter_return,bus,2,46484196,1557676441,46484196->1557676441,3.0947113263351493,8.337264642178646,62.52948481633984
20260610_175521_48753422,80862.96258763366,exit,car,1572,3611512307,46444413,3611512307->46444413,3.170723129535018,203.82376803145715,764.3391301179643
20260610_175521_48753422,80862.96258763366,enter,car,1572,46444413,46446877,46444413->46446877,1.5840586415857842,27.420593501680013,205.6544512626001
20260610_175521_48753422,80864.97479173944,exit,car,1578,3611512307,46444413,3611512307->46444413,2.170723129535018,203.82376803145715,764.3391301179643
20260610_175521_48753422,80864.97479173944,enter,car,1578,46444413,46446877,46444413->46446877,2.5840586415857842,27.420593501680013,205.6544512626001
20260610_175521_48753422,80868.0577580658,exit_return,bus,2,46484196,1557676441,46484196->1557676441,0.09471132633514939,8.337264642178646,62.52948481633984
20260610_175521_48753422,80868.0577580658,enter_return,bus,2,1557676441,46483518,1557676441->46483518,3.05478673373689,4.82277585712061,36.17081892840458
20260610_175521_48753422,80872.4184477612,exit,car,1572,46444413,46446877,46444413->46446877,1.5840586415857842,27.420593501680013,205.6544512626001
20260610_175521_48753422,80872.4184477612,enter,car,1572,46446877,46446638,46446877->46446638,1.0051388404897106,1.2063005844391212,9.04725438329341
20260610_175521_48753422,80872.44813097344,exit_return,bus,2,1557676441,46483518,1557676441->46483518,0.054786733736890116,4.82277585712061,36.17081892840458
20260610_175521_48753422,80872.44813097344,enter_return,bus,2,46483518,46483902,46483518->46483902,3.0805359981800864,7.089436459514649,53.17077344635987
20260610_175521_48753422,80872.82731598709,exit,car,1572,46446877,46446638,46446877->46446638,0.005138840489710656,1.2063005844391212,9.04725438329341
20260610_175521_48753422,80872.82731598709,enter,car,1572,46446638,2382668247,46446638->2382668247,1.3668202782394687,64.58103490131492,242.17888087993094
20260610_175521_48753422,80874.79663980532,exit,car,1578,46444413,46446877,46444413->46446877,0.5840586415857841,27.420593501680013,205.6544512626001
20260610_175521_48753422,80874.79663980532,enter,car,1578,46446877,46446638,46446877->46446638,1.0051388404897106,1.2063005844391212,9.04725438329341
20260610_175521_48753422,80875.20550803121,exit,car,1578,46446877,46446638,46446877->46446638,0.005138840489710656,1.2063005844391212,9.04725438329341
20260610_175521_48753422,80875.20550803121,enter,car,1578,46446638,2382668247,46446638->2382668247,2.3668202782394685,64.58103490131492,242.17888087993094
20260610_175521_48753422,80876.7741321549,exit,car,1569,46409450,46445656,46409450->46445656,2.3806891908597767,121.53954144892403,911.5465608669302
20260610_175521_48753422,80877.52364032133,enter,car,1577,46354890,46359275,46354890->46359275,1.4970405593774039,46.670475058911165,175.01428147091687
20260610_175521_48753422,80878.90193904671,exit_return,bus,2,46483518,46483902,46483518->46483902,0.08053599818008639,7.089436459514649,53.17077344635987
20260610_175521_48753422,80878.90193904671,enter_return,bus,2,46483902,46482942,46483902->46482942,3.4165333766421817,36.66667047906528,275.0000285929896
20260610_175521_48753422,80883.56507998379,exit,car,1562,46431391,46445656,46431391->46445656,2.2169179061302087,107.12305511709587,803.422913378219
20260610_175521_48753422,80885.48406147279,exit,car,1577,46354890,46359275,46354890->46359275,0.4970405593774039,46.670475058911165,175.01428147091687
20260610_175521_48753422,80885.48406147279,enter,car,1577,46359275,46365929,46359275->46365929,1.5983369667700602,28.090937407045082,210.6820305528381
20260610_175521_48753422,80886.61882493211,exit,car,1573,46391963,46409450,46391963->46409450,2.527706776300589,154.84353764688646,580.6632661758242
20260610_175521_48753422,80886.61882493211,enter,car,1573,46409450,46445656,46409450->46445656,3.3806891908597767,121.53954144892403,911.5465608669302
20260610_175521_48753422,80888.34349327565,exit,car,1574,46493064,46467133,46493064->46467133,2.7957579705432045,262.51248549701455,984.4218206138046
20260610_175521_48753422,80888.34349327565,enter,car,1574,46467133,46462396,46467133->46462396,1.564040733651753,26.4807856174532,198.605892130899
20260610_175521_48753422,80895.17108648033,exit,car,1577,46359275,46365929,46359275->46365929,0.5983369667700601,28.090937407045082,210.6820305528381
20260610_175521_48753422,80895.17108648033,enter,car,1577,46365929,46366196,46365929->46366196,1.032765627334384,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80895.70155922229,exit,car,1577,46365929,46366196,46365929->46366196,0.03276562733438391,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80895.70155922229,enter,car,1577,46366196,2384634607,46366196->2384634607,1.0486965654585652,2.286223730449071,17.146677978368032
20260610_175521_48753422,80896.00918632498,exit,car,1575,46391963,46409450,46391963->46409450,1.527706776300589,154.84353764688646,580.6632661758242
20260610_175521_48753422,80896.00918632498,enter,car,1575,46409450,46445656,46409450->46445656,4.380689190859776,121.53954144892403,911.5465608669302
20260610_175521_48753422,80896.4899525083,exit,car,1577,46366196,2384634607,46366196->2384634607,0.048696565458565204,2.286223730449071,17.146677978368032
20260610_175521_48753422,80896.4899525083,enter,car,1577,2384634607,46367537,2384634607->46367537,1.0494404781295823,2.32114920796161,17.408619059712073
20260610_175521_48753422,80897.2903896777,exit,car,1577,2384634607,46367537,2384634607->46367537,0.04944047812958227,2.32114920796161,17.408619059712073
20260610_175521_48753422,80897.2903896777,enter,car,1577,46367537,5155698570,46367537->5155698570,1.0504263134524379,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80897.47526516274,exit,car,1574,46467133,46462396,46467133->46462396,0.5640407336517531,26.4807856174532,198.605892130899
20260610_175521_48753422,80897.47526516274,enter,car,1574,46462396,46458137,46462396->46458137,1.5002888990275536,23.487741738382798,176.158063037871
20260610_175521_48753422,80898.10678743779,exit,car,1577,46367537,5155698570,46367537->5155698570,0.05042631345243789,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80898.10678743779,enter,car,1577,5155698570,2384634611,5155698570->2384634611,1.0385730230085675,1.8109400473505892,13.58205035512942
20260610_175521_48753422,80898.73128142572,exit,car,1577,5155698570,2384634611,5155698570->2384634611,0.03857302300856755,1.8109400473505892,13.58205035512942
